
#### alpha = 0 (Kida) closed (1,2) rods with R_max = 1: 3 found  [197s] ####
      d=2, e3=0, m=0 (e0=-2)#f2(deg6)    k=+1.4749 iota0-N=+4.0901 eta^2=1.6949 j=+4.0650  sign(j)=sign(k): True
      d=2, e3=0, m=0 (e0=-2)#f2(deg6)    k=-1.4749 iota0-N=-4.0901 eta^2=1.1299 j=-7.5475  sign(j)=sign(k): True
      d=2, e3=0, m=-1/2 (e0=-5/2)#f1(deg3) k=+0.8714 iota0-N=+2.4166 eta^2=2.3906 j=+2.6662  sign(j)=sign(k): True
      d=2, e3=0, m=-1/2 (e0=-5/2)#f1(deg3) k=-0.8714 iota0-N=-2.4166 eta^2=1.4344 j=-5.9903  sign(j)=sign(k): True
      d=2, e3=0, m=-1/2 (e0=-5/2)#f2(deg6) k=+1.8356 iota0-N=+5.0906 eta^2=1.5888 j=+5.4041  sign(j)=sign(k): True
      d=2, e3=0, m=-1/2 (e0=-5/2)#f2(deg6) k=-1.8356 iota0-N=-5.0906 eta^2=1.1348 j=-8.9577  sign(j)=sign(k): True
      d=2, e3=1/2, m=0 (e0=-5/2)#f0(deg1) k=+0.4312 iota0-N=+1.1958 eta^2=2.8985 j=+0.3962  sign(j)=sign(k): True
      d=2, e3=1/2, m=0 (e0=-5/2)#f0(deg1) k=-0.4312 iota0-N=-1.1958 eta^2=0.9662 j=-3.5086  sign(j)=sign(k): True
      d=2, e3=1/2, m=0 (e0=-5/2)#f1(deg3) k=+1.0972 iota0-N=+3.0428 eta^2=1.8986 j=+2.7533  sign(j)=sign(k): True
      d=2, e3=1/2, m=0 (e0=-5/2)#f1(deg3) k=-1.0972 iota0-N=-3.0428 eta^2=1.1391 j=-6.1354  sign(j)=sign(k): True
      d=2, e3=1/2, m=0 (e0=-5/2)#f2(deg6) k=+1.8769 iota0-N=+5.2049 eta^2=1.5539 j=+5.4231  sign(j)=sign(k): True
      d=2, e3=1/2, m=0 (e0=-5/2)#f2(deg6) k=-1.8769 iota0-N=-5.2049 eta^2=1.1099 j=-8.9842  sign(j)=sign(k): True
      => 24 points, all with sign j = sign k: True, min|j| = 0.396
